Speed Up PAM Count Algorithm to rand10000-3.csv Data File Classficate into 15 Cluster:
Speed Up PAM Count Running time: ,2130.14
Cluster Total Cost: ,199684
Iterations: ,20
Number of distance calculation: ,35596086886

Optimal Medoids: 
2028,61.0307,82.5928,57.385,
7923,13.3966,52.2007,22.5576,
1277,80.082,72.257,81.171,
8712,51.6643,30.0879,81.655,
9390,54.677,48.4634,33.184,
2043,86.2057,51.616,38.4985,
1857,22.6209,72.1638,84.8916,
6757,27.3748,19.3373,10.7326,
8742,32.0411,79.2192,15.8211,
2181,75.1695,76.8434,16.7691,
5091,27.2681,20.1455,46.8386,
6877,20.5584,78.1042,53.1382,
9532,74.8348,18.4273,19.5353,
7610,17.3061,23.8835,80.707,
6769,81.9305,18.7857,69.8155,

Cluster Results:
Cluster 1
Number,v1,v2,v3,
21,65.5741,83.0077,41.2229,
37,69.4829,77.3955,46.1039,
52,67.9703,82.9009,42.693,
66,95.9291,87.7759,51.2014,
80,47.3289,92.8965,68.3658,
90,56.7822,78.0105,63.6688,
120,44.2678,68.9776,50.6473,
139,54.986,99.5338,67.0821,
151,41.7267,90.7355,50.4965,
164,40.3912,95.9483,72.4665,
180,45.0924,99.7736,82.5702,
181,54.7009,91.103,81.5781,
197,50.8509,64.087,53.0281,
231,59.4896,93.6821,50.8095,
246,73.0331,88.2505,43.699,
272,65.3757,83.8303,65.5575,
289,80.5489,87.5211,65.6309,
299,50.0472,71.2634,42.6678,
302,68.1972,63.7809,57.7125,
317,43.2392,77.4251,59.9165,
371,64.4765,89.831,77.0128,
375,48.2022,94.893,59.2598,
397,42.5259,86.774,74.8508,
404,47.0924,85.4683,76.0793,
433,63.7709,81.5444,39.4765,
436,67.6122,67.3959,61.559,
451,91.5991,94.9407,58.728,
454,42.4349,73.3952,70.2099,
463,47.3486,94.4647,60.9871,
472,76.55,84.8988,64.6446,
481,64.7618,89.3394,56.8635,
492,66.1945,70.3805,49.7875,
515,52.2495,81.6764,52.4147,
531,69.6266,89.8027,39.9159,
534,53.0344,75.9162,38.5668,
536,48.4853,81.0701,36.2133,
540,52.0052,98.7781,85.1276,
548,44.2402,67.8224,51.3993,
576,83.3501,78.9034,52.3232,
577,76.8854,74.2843,55.2819,
581,51.4423,84.3613,43.2518,
604,69.6667,95.5547,49.0658,
624,66.6416,95.8069,44.1689,
641,55.2291,97.6559,50.9116,
664,87.3927,80.8786,45.1568,
677,57.371,75.7648,50.1552,
683,86.0441,97.2686,61.6871,
688,51.3377,89.9846,41.4125,
698,64.8198,83.4623,58.5342,
717,46.484,79.8819,64.515,
